Period,Number,Big/Small,Color,Premium
20250618100011021,0,Small,"red,violet",10410
20250618100011022,2,Small,red,58822
20250618100011023,5,Big,"green,violet",69785
20250618100011024,5,Big,"green,violet",71175
20250618100011025,7,Big,green,39607
20250618100011026,7,Big,green,72297
20250618100011027,8,Big,red,23798
20250618100011028,0,Small,"red,violet",43850
20250618100011029,3,Small,green,56483
20250618100011030,0,Small,"red,violet",85750
20250618100011031,8,Big,red,44528
20250618100011032,1,Small,green,71021
20250618100011033,8,Big,red,71368
20250618100011034,4,Small,red,10234
20250618100011035,5,Big,"green,violet",13785
20250618100011036,2,Small,red,63232
20250618100011037,1,Small,green,79281
20250618100011038,7,Big,green,79447
20250618100011039,2,Small,red,10692
20250618100011040,3,Small,green,13973
20250618100011041,6,Big,red,86256
20250618100011042,7,Big,green,19327
20250618100011043,2,Small,red,28292
20250618100011044,8,Big,red,29328
20250618100011045,2,Small,red,72122
20250618100011046,8,Big,red,41038
20250618100011047,4,Small,red,63504
20250618100011048,1,Small,green,81821
20250618100011049,0,Small,"red,violet",31610
20250618100011050,8,Big,red,80928
20250618100011051,2,Small,red,74192
20250618100011052,4,Small,red,34144
20250618100011053,1,Small,green,86541
20250618100011054,1,Small,green,72471
20250618100011055,4,Small,red,30864
20250618100011056,7,Big,green,48587
20250618100011057,6,Big,red,89426
20250618100011058,6,Big,red,28886
20250618100011059,8,Big,red,48268
20250618100011060,0,Small,"red,violet",67360
20250618100011061,7,Big,green,27977
20250618100011062,2,Small,red,80242
20250618100011063,2,Small,red,95672
20250618100011064,8,Big,red,44948
20250618100011065,1,Small,green,28291
20250618100011066,4,Small,red,68184
20250618100011067,0,Small,"red,violet",81160
20250618100011068,4,Small,red,56294
20250618100011069,1,Small,green,83161
20250618100011070,9,Big,green,63149
20250618100011071,7,Big,green,70027
20250618100011072,9,Big,green,32639
20250618100011073,5,Big,"green,violet",43375
20250618100011074,4,Small,red,54214
20250618100011075,5,Big,"green,violet",62445
20250618100011076,2,Small,red,87022
20250618100011077,0,Small,"red,violet",31060
20250618100011078,1,Small,green,56471
20250618100011079,3,Small,green,64033
20250618100011080,3,Small,green,74273
20250618100011081,9,Big,green,14119
20250618100011082,4,Small,red,46324
20250618100011083,0,Small,"red,violet",69000
20250618100011084,1,Small,green,52231
20250618100011085,9,Big,green,77329
20250618100011086,1,Small,green,32751
20250618100011087,7,Big,green,65937
20250618100011088,5,Big,"green,violet",67735
20250618100011089,0,Small,"red,violet",55860
20250618100011090,7,Big,green,36307
20250618100011091,6,Big,red,75856
20250618100011092,3,Small,green,46223
20250618100011093,9,Big,green,10379
20250618100011094,6,Big,red,86396
20250618100011095,8,Big,red,50038
20250618100011096,6,Big,red,79666
